trade_lane,mode_of_transport,shipments,avg_actual_lead_time_days,avg_estimated_lead_time_days,avg_delay_days,delay_rate
AT → DE,Road,2,6.0,6.0,0.0,0.0
BE → GB,Road,6,5.83,5.83,0.0,0.0
CA → GB,Air,3,7.67,8.0,-0.33,0.0
CA → NL,Air,4,5.75,5.75,0.0,0.0
CA → US,Road,2,5.0,5.0,0.0,0.0
CH → GB,Road,8,4.63,5.38,-0.75,0.0
CN → CA,Air,1,12.0,12.0,0.0,0.0
CN → GB,Air,10,7.3,7.3,0.0,0.0
CN → HK,Road,4,2.5,2.5,0.0,0.0
CN → NL,Air,1,6.0,6.0,0.0,0.0
CN → US,Air,3,5.0,5.0,0.0,0.0
DE → BE,Road,1,2.0,6.0,-4.0,0.0
DE → DE,Road,14,1.36,2.86,-1.5,0.0
DE → DK,Road,2,5.0,5.0,0.0,0.0
DE → ES,Road,3,7.0,8.0,-1.0,0.0
DE → FR,Road,3,11.67,11.33,0.33,0.3333333333333333
DE → GB,Road,7,2.43,2.57,-0.14,0.0
DE → NL,Road,8,2.88,3.63,-0.75,0.0
DE → NO,Road,4,8.0,8.0,0.0,0.0
DE → PL,Road,6,3.5,4.0,-0.5,0.0
DE → SE,Road,2,5.0,8.0,-3.0,0.0
ES → GB,Road,8,4.75,5.0,-0.25,0.0
ES → NL,Road,1,3.0,3.0,0.0,0.0
ES → PL,Road,2,6.0,6.0,0.0,0.0
ES → RO,Road,1,0.0,5.0,-5.0,0.0
FR → GB,Road,8,7.75,7.75,0.0,0.0
FR → US,Air,1,11.0,11.0,0.0,0.0
GB → CH,Road,1,9.0,9.0,0.0,0.0
GB → DE,Road,1,3.0,3.0,0.0,0.0
GB → ES,Road,1,12.0,13.0,-1.0,0.0
GB → FI,Road,2,11.5,12.0,-0.5,0.0
GB → FR,Road,1,2.0,2.0,0.0,0.0
GB → GB,Road,190,0.16,0.16,0.0,0.0
GB → IE,Road,8,3.0,3.0,0.0,0.0
GB → IT,Road,8,2.0,2.88,-0.88,0.0
GB → NL,Road,7,1.29,1.29,0.0,0.0
GB → PL,Road,18,3.39,3.61,-0.22,0.0
GB → US,Air,6,4.67,4.67,0.0,0.0
GB → US,Ocean,1,2.0,2.0,0.0,0.0
HK → GB,Air,8,11.63,11.63,0.0,0.0
IT → GB,Road,12,5.83,5.83,0.0,0.0
IT → IT,Road,1,0.0,0.0,0.0,0.0
IT → NL,Road,3,1.67,1.67,0.0,0.0
IT → US,Air,2,7.0,7.0,0.0,0.0
KR → CA,Air,1,6.0,6.0,0.0,0.0
MA → GB,Road,3,12.0,12.0,0.0,0.0
NL → DE,Road,4,1.0,1.0,0.0,0.0
NL → GB,Road,31,6.61,6.58,0.03,0.06451612903225806
NL → IT,Road,1,2.0,2.0,0.0,0.0
NL → NL,Road,3,0.33,0.33,0.0,0.0
NL → PL,Road,8,2.75,2.75,0.0,0.0
PH → US,Ocean,9,42.78,42.78,0.0,0.0
PL → DE,Road,1,3.0,3.0,0.0,0.0
PL → DK,Road,4,1.0,1.0,0.0,0.0
PL → ES,Road,11,2.64,2.82,-0.18,0.0
PL → FR,Road,12,1.42,1.33,0.08,0.08333333333333333
PL → GB,Road,1,6.0,7.0,-1.0,0.0
PL → IE,Road,6,5.33,5.33,0.0,0.0
PL → IT,Road,9,1.22,1.44,-0.22,0.0
PL → NL,Road,8,1.25,1.25,0.0,0.0
PL → PL,Road,1,1.0,1.0,0.0,0.0
PT → GB,Road,1,6.0,7.0,-1.0,0.0
PT → PT,Road,1,0.0,0.0,0.0,0.0
PT → US,Air,1,7.0,7.0,0.0,0.0
TR → GB,Road,98,1.63,1.63,0.0,0.01020408163265306
TW → CA,Air,1,4.0,7.0,-3.0,0.0
US → CA,Road,5,1.6,2.0,-0.4,0.0
US → GB,Air,41,6.46,6.44,0.02,0.024390243902439025
US → US,Road,29,4.07,4.59,-0.52,0.034482758620689655
VN → GB,Air,10,6.0,6.0,0.0,0.0
