cargo_id,trade_lane,mode_of_transport,stage,estimated_collection_at,actual_collection_at,estimated_delivery_at,actual_delivery_at,actual_lead_time_days,estimated_lead_time_days,lead_time_deviation_days,performance_bucket,is_on_time
QFF6E58wlnQAfPHiz484dA==,GB → IT,Road,l) delivered,2025-11-04 08:00:00,2025-11-04 00:00:00,2025-11-13 08:00:00,2025-11-06 00:00:00,2,9,-7,faster_than_estimated,true
zAqE4GkwaB2m1qtPJwMUaw==,US → US,Road,l) delivered,2025-11-06 12:00:00,2025-11-06 00:00:00,2025-11-14 08:00:00,2025-11-08 00:00:00,2,8,-6,faster_than_estimated,true
5BPz4UjSp8mN9l5HGt5x5A==,US → US,Road,l) delivered,2025-11-01 08:00:00,2025-11-07 00:00:00,2025-11-14 12:00:00,2025-11-14 00:00:00,7,13,-6,faster_than_estimated,true
QIzAOb6x1a93HB/OgviTww==,ES → RO,Road,l) delivered,2025-11-07 19:30:00,2025-11-07 00:00:00,2025-11-12 10:00:00,2025-11-07 00:00:00,0,5,-5,faster_than_estimated,true
2SUDMW5AHUxYkEidBK7u3g==,CH → GB,Road,l) delivered,2025-11-15 08:00:00,2025-11-15 00:00:00,2025-11-22 06:00:00,2025-11-18 00:00:00,3,7,-4,faster_than_estimated,true
A6uY/QGBrKmdoWKiwrronQ==,DE → BE,Road,l) delivered,2025-11-19 08:00:00,2025-11-19 00:00:00,2025-11-25 08:00:00,2025-11-21 00:00:00,2,6,-4,faster_than_estimated,true
R+arXAn86tpBUMZogMVL8w==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
KIc3R5x5SpxgTpmVgp6zcg==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
D1sRir+jodMYf4YIwXDJ8g==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
upKMnd/kGII8llcEq5u/fg==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
2YlVo8RE2A/QLAUSsrF6Lw==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
/P+M8bvQ1IxAh7XkrrYQDg==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
UiIg+o/sd2b6hxyvSJtUbw==,DE → DE,Road,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-18 08:00:00,2025-11-15 00:00:00,1,4,-3,faster_than_estimated,true
z+WPPZpYaOl+g0PJ76giCg==,DE → SE,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-21 08:00:00,2025-11-18 00:00:00,5,8,-3,faster_than_estimated,true
gHShmfSj++kMsCjaeNdRgw==,DE → SE,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-21 08:00:00,2025-11-18 00:00:00,5,8,-3,faster_than_estimated,true
mVICY6zu7PaWIalldPhVcw==,TW → CA,Air,l) delivered,2025-11-15 12:00:00,2025-11-15 00:00:00,2025-11-22 08:00:00,2025-11-19 00:00:00,4,7,-3,faster_than_estimated,true
jJQXorDtqg7L30mQUJ74OA==,PL → IT,Road,l) delivered,2025-10-07 10:11:23,2025-10-07 11:36:18,2025-10-10 01:49:03,2025-10-08 13:30:00,1,3,-2,faster_than_estimated,true
odsZpvkUiAptD8n1r7iYhg==,US → CA,Road,l) delivered,2025-11-05 12:00:00,2025-11-04 00:00:00,2025-11-11 08:00:00,2025-11-08 00:00:00,4,6,-2,faster_than_estimated,true
G7Q6As3lBG1QMhNRXjYUJw==,NL → GB,Road,l) delivered,2025-11-07 08:00:00,2025-11-07 00:00:00,2025-11-13 08:00:00,2025-11-12 00:00:00,5,6,-1,faster_than_estimated,true
otnSfFBde1rJg87/37+c0g==,US → GB,Air,l) delivered,2025-11-19 08:00:00,2025-11-18 00:00:00,2025-11-21 08:00:00,2025-11-21 00:00:00,3,2,1,slower_than_estimated,false
oeLf0sJmPzzkuqcXWcETbg==,CA → GB,Air,l) delivered,2025-11-14 08:00:00,2025-11-14 00:00:00,2025-11-21 14:00:00,2025-11-20 00:00:00,6,7,-1,faster_than_estimated,true
A8o/ac3ZyHJSIiCgyDuInA==,CH → GB,Road,l) delivered,2025-11-15 08:00:00,2025-11-15 00:00:00,2025-11-19 08:00:00,2025-11-18 00:00:00,3,4,-1,faster_than_estimated,true
iURlSIjq94jOxyqcYAbGNQ==,CH → GB,Road,l) delivered,2025-11-15 08:00:00,2025-11-15 00:00:00,2025-11-19 06:00:00,2025-11-18 00:00:00,3,4,-1,faster_than_estimated,true
iZApYx2KLyDylUALC+jyKw==,PT → GB,Road,l) delivered,2025-11-08 08:00:00,2025-11-08 00:00:00,2025-11-15 08:00:00,2025-11-14 00:00:00,6,7,-1,faster_than_estimated,true
zqy2YcKq7A/wT4556xxPFg==,GB → FI,Road,l) delivered,2025-11-07 08:00:00,2025-11-08 00:00:00,2025-11-21 08:00:00,2025-11-21 00:00:00,13,14,-1,faster_than_estimated,true
NoCFkpNy4s/BlafqlS+1Cg==,GB → ES,Road,l) delivered,2025-11-08 08:00:00,2025-11-08 00:00:00,2025-11-21 08:00:00,2025-11-20 00:00:00,12,13,-1,faster_than_estimated,true
7VHELgv19O7t/sqH8/YBXw==,DE → PL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
PetDeGKuIkfbKh4DGoNYHw==,DE → PL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
Iexvy15lWrws7HMvjKj7Hw==,DE → PL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
86vY7ZsgpgGcZA46SMGxqQ==,NL → GB,Road,l) delivered,2025-11-12 08:00:00,2025-11-11 00:00:00,2025-11-18 08:00:00,2025-11-18 00:00:00,7,6,1,slower_than_estimated,false
hzo0jnjoYUmTxP4uDmprGg==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
gghM6NHYq1rA4zBSYQsL/Q==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
AN1B8FPATMnB84xLZGwuaQ==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
jJ+mtCnT2fAXVZ3n+BDyCw==,DE → NL,Road,l) delivered,2025-11-05 08:00:00,2025-11-05 00:00:00,2025-11-08 08:00:00,2025-11-07 00:00:00,2,3,-1,faster_than_estimated,true
x+diCfww+EsLkn6RvqikgQ==,GB → PL,Road,l) delivered,2025-11-13 08:00:00,2025-11-13 00:00:00,2025-11-16 08:00:00,2025-11-15 00:00:00,2,3,-1,faster_than_estimated,true
